Registro;Nombre;Fecha Registro;Empresa;Principio Activo;Control Legal;Condiciones de Venta;Equivalente Terapeutico
F-26451/21;BROMHEXINA CLORHIDRATO JARABE 4mg/5mL ;2021-10-18 00:00:00;SAVANT PHARM CHILE S.p.A.;BROMHEXINA CLORHIDRATO;;Directa;
F-26450/21;BROMHEXINA CLORHIDRATO JARABE 8 mg/5 mL ;2021-10-18 00:00:00;SAVANT PHARM CHILE S.p.A.;BROMHEXINA CLORHIDRATO;;Directa;
F-5508/20;AB ANTISÉPTICO BUCAL COMPRIMIDOS MASTICABLES 5 mg;1981-01-19 00:00:00;LABORATORIOS SAVAL S.A.;CLORHEXIDINA;;Directa;
F-7772/21;AB ANTISÉPTICO BUCAL SABOR LIMÓN COMPRIMIDOS MASTICABLES 5 mg;2001-05-25 00:00:00;LABORATORIOS SAVAL S.A.;CLORHEXIDINA;;Directa;
F-9562/16;AB ANTITUSIVO COMPRIMIDOS MASTICABLES;1990-11-08 00:00:00;LABORATORIOS SAVAL S.A.;CLORHEXIDINA//NOSCAPINA;;Directa;
F-7773/21;AB ANTITUSIVO SABOR MIEL COMPRIMIDOS MASTICABLES;2001-05-25 00:00:00;LABORATORIOS SAVAL S.A.;CLORHEXIDINA//NOSCAPINA;;Directa;
N-56/21;ABRILAR JARABE 35 mg/5 mL;2001-08-21 00:00:00;MEGALABS CHILE S.A.;;;Directa;
F-15827/16;ACAMOL INFANTIL SUPOSITORIOS 125 mg;2006-12-07 00:00:00;EUROFARMA CHILE S.A.;PARACETAMOL;;Directa;
N-414/20;ACEITE CALÉNDULA - MANZANILLA SOLUCIÓN OLEOSA;1989-08-22 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
N-193/21;ACEITE DE ÁRNICA SOLUCIÓN OLEOSA;1990-02-21 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
N-628/21;ACEITE DE MENTA CÁPSULAS BLANDAS GASTRO-RESISTENTES 0,2 mL;2021-08-03 00:00:00;SANOFI-AVENTIS DE CHILE S.A.;ACEITE DE MENTA;;Directa;
N-475/19;ACEITE DE RICINO PURO;1978-05-15 00:00:00;LABORATORIO VALMA SPA;;;Directa;
N-476/19;ACEITE DE RICINO SABOR A FRUTILLA;1978-05-15 00:00:00;LABORATORIO VALMA SPA;;;Directa;
N-65/19;ACEITE DE RICINO SABOR A MENTA;1978-05-15 00:00:00;LABORATORIO VALMA SPA;;;Directa;
H-575/20;ACID SULFUR COMPUESTO SOLUCIÓN ORAL PARA GOTAS;1988-07-19 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-1444/18;ÁCIDO ACETILSALICÍLICO COMPRIMIDOS 100 mg;1958-12-09 00:00:00;MINTLAB Co. S.A.;ACIDO ACETILSALICILICO;;Directa;TRUE
F-25681/20;Ácido Acetilsalicílico Comprimidos 100 mg;2020-09-09 00:00:00;OPKO CHILE S.A.;ACIDO ACETILSALICILICO;;Directa;TRUE
F-26254/21;ÁCIDO ACETILSALICÍLICO COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 100 mg;2021-07-06 00:00:00;MDC HEALTH S.p.A.;ACIDO ACETILSALICILICO;;Directa;TRUE
F-6406/20;ÁCIDO ACETILSALICÍLICO COMPRIMIDOS MASTICABLES 100 mg;1985-06-28 00:00:00;LABORATORIO PASTEUR S.A.;ACIDO ACETILSALICILICO;;Directa;TRUE
F-1308/18;ÁCIDO DEHIDROCÓLICO COMPRIMIDOS 250 mg;1969-11-12 00:00:00;LABORATORIO CHILE S.A.;ACIDO DEHIDROCOLICO;;Directa;
H-787/20;ACIDUM PHOSPHORICUM D6 COMPRIMIDOS;1987-03-17 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
H-1157/19;ACIDUM PHOSPHORICUM D6 GLÓBULOS;2009-09-21 00:00:00;LABORATORIOS BIOSPHARE S.A.;;;Directa;
F-17842/20;ACIFIN COMPRIMIDOS MASTICABLES;2010-02-01 00:00:00;MINTLAB Co. S.A.;MAGALDRATO//SIMETICONA;;Directa;
F-22015/20;ACIFREE LIMÓN POLVO EFERVESCENTE;2015-07-22 00:00:00;MINTLAB Co. S.A.;ACIDO CITRICO//BICARBONATO SODICO//SODIO CARBONATO;;Directa;
H-770/20;ACONITUM D6 COMPRIMIDOS;1986-12-02 00:00:00;KNOP LABORATORIOS S.A.;Aconitum D6;;Directa;
F-14033/19;ACRYLARM GEL OFTÁLMICO 0,2% (CARBOMERO);2004-08-03 00:00:00;MEGALABS CHILE S.A.;CARBOMERO;;Directa;
H-767/20;ACTAEA RACEMOSA D6 COMPRIMIDOS;1987-03-20 00:00:00;KNOP LABORATORIOS S.A.;;;Directa;
F-16002/17;ACTRONRA CÁPSULAS BLANDAS 200 mg (IBUPROFENO);2007-03-26 00:00:00;BAYER S.A.;IBUPROFENO;;Directa;
F-20571/18;ADOLEX COMPRIMIDOS DE DISOLUCIÓN BUCAL;2013-11-27 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;ALANTOINA//CETILPIRIDINIO CLORURO;;Directa;
F-20572/18;ADOLEX PLUS COMPRIMIDOS DE DISOLUCIÓN BUCAL;2013-11-27 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;ALANTOINA//CETILPIRIDINIO CLORURO//NOSCAPINA;;Directa;
